@relation adult-data-training-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute salary {>50K,<=50K}

@data
0.452055,Private,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0.44898,United-States,>50K
0.30137,Self-emp-inc,Assoc-acdm,0.733333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.041096,Private,Some-college,0.6,Never-married,Adm-clerical,Own-child,White,Female,0,0.091837,United-States,<=50K
0.013699,?,HS-grad,0.533333,Never-married,?,Own-child,White,Female,0,0.193878,United-States,<=50K
0.260274,Private,Bachelors,0.8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.479592,United-States,>50K
0.246575,Private,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0.346939,United-States,>50K
0.616438,Local-gov,Some-college,0.6,Divorced,Other-service,Not-in-family,White,Male,0,0.44898,United-States,<=50K
0.273973,Private,Assoc-acdm,0.733333,Married-civ-spouse,Sales,Husband,White,Male,0,0.397959,United-States,<=50K
0.328767,Local-gov,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.602041,United-States,<=50K
0.493151,Private,Some-college,0.6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.44898,United-States,>50K
0.164384,Federal-gov,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.397959,United-States,>50K
0.739726,?,HS-grad,0.533333,Married-civ-spouse,?,Husband,White,Male,0,0.704082,United-States,<=50K
0.205479,Private,Bachelors,0.8,Never-married,Exec-managerial,Other-relative,White,Male,0.561065,0.5,United-States,>50K
0.452055,Private,HS-grad,0.533333,Divorced,Other-service,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.479452,Private,HS-grad,0.533333,Divorced,Other-service,Other-relative,White,Male,0,0.295918,United-States,<=50K
0.369863,Private,HS-grad,0.533333,Never-married,Craft-repair,Not-in-family,Black,Male,0,0.397959,United-States,<=50K
0.712329,Private,9th,0.266667,Married-civ-spouse,Other-service,Husband,White,Male,0,0.346939,United-States,<=50K
0.068493,Private,Some-college,0.6,Never-married,Adm-clerical,Other-relative,White,Male,0,0.397959,United-States,<=50K
0.219178,Federal-gov,Assoc-voc,0.666667,Divorced,Craft-repair,Unmarried,Black,Female,0,0.397959,United-States,>50K
0.109589,Private,Some-college,0.6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.397959,United-States,<=50K
0.027397,Private,HS-grad,0.533333,Never-married,Adm-clerical,Own-child,White,Female,0,0.27551,United-States,<=50K
0.219178,Private,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.44898,United-States,>50K
0.410959,Private,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.602041,United-States,>50K
0.452055,Private,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.232877,Private,Some-college,0.6,Never-married,Adm-clerical,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.465753,Self-emp-inc,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.244898,United-States,<=50K
0.041096,Private,Some-college,0.6,Never-married,Adm-clerical,Own-child,White,Female,0,0.142857,United-States,<=50K
0.643836,Self-emp-not-inc,Masters,0.866667,Divorced,Prof-specialty,Not-in-family,White,Male,0,0.5,United-States,<=50K
0.041096,Private,Some-college,0.6,Never-married,Sales,Not-in-family,White,Male,0,0.244898,United-States,<=50K
0.219178,Private,HS-grad,0.533333,Never-married,Craft-repair,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.219178,Private,HS-grad,0.533333,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0.193878,United-States,<=50K
0.424658,Private,Masters,0.866667,Divorced,Exec-managerial,Not-in-family,White,Male,0,0.5,United-States,>50K
0.109589,Private,HS-grad,0.533333,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0.397959,United-States,<=50K
0.315068,Private,Some-college,0.6,Divorced,Transport-moving,Not-in-family,White,Male,0,0.479592,United-States,>50K
0.410959,Private,10th,0.333333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.459184,United-States,>50K
0.438356,Private,10th,0.333333,Never-married,Other-service,Unmarried,White,Female,0,0.377551,Peru,<=50K
0.150685,Self-emp-inc,11th,0.4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.5,United-States,>50K
0.493151,Private,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.438776,United-States,>50K
0.246575,Self-emp-inc,Masters,0.866667,Married-civ-spouse,Sales,Husband,White,Male,0,0.44898,Mexico,>50K
0.164384,Local-gov,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.424242,0.602041,Germany,>50K
0.260274,Private,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.44898,United-States,>50K
0.09589,?,Some-college,0.6,Never-married,?,Unmarried,White,Male,0,0.397959,United-States,<=50K
0.027397,Private,HS-grad,0.533333,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0.193878,United-States,<=50K
0.136986,Private,Assoc-acdm,0.733333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.397959,United-States,<=50K
0.164384,Private,Some-college,0.6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.377551,United-States,<=50K
0.479452,Private,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,>50K
0.424658,Federal-gov,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0.5,United-States,>50K
0.123288,Private,HS-grad,0.533333,Never-married,Adm-clerical,Not-in-family,White,Female,0,0.5,United-States,<=50K
0.561644,State-gov,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.453857,0.5,United-States,>50K
0.191781,Private,HS-grad,0.533333,Divorced,Adm-clerical,Not-in-family,White,Female,0,0.397959,United-States,<=50K
0.315068,Private,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0.44898,United-States,>50K
0.30137,Self-emp-not-inc,HS-grad,0.533333,Married-civ-spouse,Sales,Wife,Black,Female,0,0.540816,Dominican-Republic,>50K
0.09589,State-gov,Bachelors,0.8,Never-married,Adm-clerical,Other-relative,White,Female,0,0.091837,United-States,<=50K
0.260274,Private,9th,0.266667,Married-civ-spouse,Sales,Own-child,White,Male,0,0.5,United-States,>50K
0.342466,Self-emp-not-inc,Some-college,0.6,Never-married,Craft-repair,Unmarried,White,Male,0,0.397959,United-States,<=50K
0.849315,Self-emp-inc,12th,0.466667,Widowed,Sales,Not-in-family,White,Male,0,0.44898,United-States,>50K
0.328767,Local-gov,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.44898,United-States,>50K
0.109589,Private,Some-college,0.6,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0.397959,Jamaica,<=50K
0.383562,Private,Masters,0.866667,Married-civ-spouse,Tech-support,Husband,White,Male,0,0.173469,United-States,>50K
0.219178,Private,HS-grad,0.533333,Never-married,Sales,Not-in-family,White,Male,0,0.44898,United-States,<=50K
0.273973,Private,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.683673,United-States,<=50K
0.452055,Private,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.5,United-States,>50K
0.191781,Private,Assoc-acdm,0.733333,Married-civ-spouse,Sales,Husband,White,Male,0,0.44898,United-States,>50K
0.013699,Private,HS-grad,0.533333,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0.397959,United-States,<=50K
0.260274,Private,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.397959,United-States,>50K
0.246575,State-gov,Some-college,0.6,Divorced,Adm-clerical,Unmarried,Black,Female,0,0.397959,United-States,<=50K
0.630137,?,Some-college,0.6,Divorced,?,Not-in-family,White,Female,0,0.040816,United-States,<=50K
0.493151,Self-emp-not-inc,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.377551,United-States,>50K
0.493151,Private,Some-college,0.6,Widowed,Exec-managerial,Unmarried,White,Female,0,0.397959,United-States,<=50K
0.684932,Private,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.479592,United-States,>50K
0.328767,Private,HS-grad,0.533333,Divorced,Craft-repair,Own-child,White,Male,0,0.397959,United-States,<=50K
0.452055,Self-emp-not-inc,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.5,United-States,>50K
0.410959,Self-emp-inc,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.397959,United-States,>50K
0.39726,Private,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.5,United-States,>50K
0.561644,Private,10th,0.333333,Married-civ-spouse,Transport-moving,Husband,White,Male,0.433196,0.397959,United-States,>50K
0.205479,Private,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0.602041,United-States,>50K
0.219178,Private,Bachelors,0.8,Never-married,Prof-specialty,Not-in-family,White,Male,0,0.397959,Canada,<=50K
0.575342,Private,HS-grad,0.533333,Divorced,Other-service,Not-in-family,White,Female,0,0.377551,United-States,<=50K
0.493151,Private,9th,0.266667,Married-spouse-absent,Machine-op-inspct,Unmarried,Black,Male,0,0.755102,Haiti,<=50K
0.30137,Private,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.44898,United-States,>50K
0.410959,Private,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0.44898,United-States,>50K
0.150685,Federal-gov,Bachelors,0.8,Never-married,Exec-managerial,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.465753,Private,Bachelors,0.8,Divorced,Exec-managerial,Unmarried,White,Male,0,0.397959,United-States,>50K
0.383562,Private,Bachelors,0.8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,>50K
0.342466,Self-emp-not-inc,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.150685,Private,Some-college,0.6,Never-married,Craft-repair,Own-child,White,Male,0,0.397959,United-States,<=50K
0.150685,Private,Some-college,0.6,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0.316327,United-States,>50K
0.246575,?,Some-college,0.6,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0.397959,Philippines,>50K
0.356164,Local-gov,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,>50K
0.041096,Federal-gov,Some-college,0.6,Never-married,Protective-serv,Own-child,Black,Male,0,0.397959,United-States,<=50K
0.712329,Self-emp-inc,HS-grad,0.533333,Married-civ-spouse,Other-service,Husband,White,Male,0,0.397959,United-States,>50K
0.315068,Local-gov,HS-grad,0.533333,Never-married,Protective-serv,Not-in-family,White,Male,0,0.418367,United-States,<=50K
0.876712,Private,9th,0.266667,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,0.040816,United-States,<=50K
0.561644,Private,11th,0.4,Widowed,Other-service,Not-in-family,White,Female,0,0.397959,United-States,<=50K
0.712329,State-gov,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.102041,United-States,<=50K
0.479452,State-gov,Assoc-acdm,0.733333,Married-civ-spouse,Sales,Husband,White,Male,0,0.397959,United-States,>50K
0.246575,Private,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0.397959,United-States,<=50K
0.657534,?,HS-grad,0.533333,Married-civ-spouse,?,Husband,White,Male,0,0.193878,United-States,<=50K
0.561644,?,12th,0.466667,Married-civ-spouse,?,Husband,White,Male,0,0.397959,United-States,<=50K
0.260274,Self-emp-inc,Assoc-acdm,0.733333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.397959,United-States,>50K
0.260274,Private,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.55102,United-States,>50K
0.712329,Private,HS-grad,0.533333,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0.071429,United-States,<=50K
0.30137,Private,Bachelors,0.8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,<=50K
0.205479,Private,Some-college,0.6,Divorced,Adm-clerical,Unmarried,White,Female,0,0.397959,United-States,<=50K
0.150685,Private,HS-grad,0.533333,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0.397959,United-States,>50K
0.465753,Private,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.436639,0.602041,United-States,>50K
0.465753,Private,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0.397959,United-States,<=50K
0.506849,Private,HS-grad,0.533333,Married-civ-spouse,Other-service,Wife,Black,Female,0,0.397959,United-States,<=50K
0.246575,Private,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,>50K
0.383562,Private,Some-college,0.6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.5,United-States,>50K
0.424658,Private,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.397959,United-States,>50K
0.39726,Private,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,White,Male,0.433196,0.44898,United-States,>50K
0.109589,Private,Assoc-voc,0.666667,Married-civ-spouse,Sales,Husband,White,Male,0,0.408163,United-States,<=50K
0.315068,Private,Bachelors,0.8,Married-civ-spouse,Tech-support,Husband,White,Male,0,0.397959,United-States,>50K
0.657534,?,HS-grad,0.533333,Married-civ-spouse,?,Husband,White,Male,0,0.397959,United-States,<=50K
0.479452,Federal-gov,Bachelors,0.8,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0.602041,United-States,>50K
0.178082,Private,Prof-school,0.933333,Never-married,Prof-specialty,Not-in-family,White,Male,0.365014,0.806122,United-States,<=50K
0.054795,Private,Some-college,0.6,Never-married,Adm-clerical,Not-in-family,White,Female,0,0.397959,United-States,<=50K
0.465753,Private,Masters,0.866667,Married-civ-spouse,Sales,Husband,White,Male,0,0.5,United-States,>50K
0.232877,Private,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.630137,Federal-gov,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0.173469,United-States,>50K
0.424658,Private,12th,0.466667,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0.5,United-States,<=50K
0.287671,Private,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.5,United-States,>50K
0.547945,Private,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.150685,Self-emp-not-inc,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,>50K
0.452055,Private,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.561644,State-gov,HS-grad,0.533333,Never-married,Adm-clerical,Not-in-family,White,Female,0,0.153061,United-States,<=50K
0.013699,Private,Some-college,0.6,Never-married,Adm-clerical,Own-child,White,Male,0.367769,0.142857,United-States,<=50K
0.123288,Self-emp-not-inc,Some-college,0.6,Separated,Craft-repair,Not-in-family,White,Male,0,0.295918,United-States,<=50K
0.082192,Private,11th,0.4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0.397959,Mexico,<=50K
0.123288,Private,Bachelors,0.8,Never-married,Prof-specialty,Own-child,White,Male,0,0.642857,United-States,>50K
0.246575,Private,HS-grad,0.533333,Divorced,Prof-specialty,Unmarried,White,Female,0,0.397959,United-States,<=50K
0.369863,Self-emp-not-inc,12th,0.466667,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0.602041,Vietnam,<=50K
0.479452,Private,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.5,United-States,<=50K
0.479452,Private,HS-grad,0.533333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.397959,United-States,>50K
0.191781,Private,HS-grad,0.533333,Divorced,Transport-moving,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.575342,Private,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0.397959,United-States,<=50K
0.410959,Self-emp-inc,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.534247,Self-emp-not-inc,Masters,0.866667,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.5,United-States,>50K
0.342466,Private,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.44898,United-States,>50K
0.479452,State-gov,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,<=50K
0.616438,Private,HS-grad,0.533333,Married-civ-spouse,Other-service,Husband,White,Male,0,0.193878,United-States,<=50K
0.260274,Private,Bachelors,0.8,Never-married,Sales,Not-in-family,Black,Male,0,0.479592,United-States,<=50K
0.246575,Private,9th,0.266667,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0.397959,Mexico,<=50K
0.369863,Federal-gov,Some-college,0.6,Divorced,Exec-managerial,Unmarried,White,Male,0,0.602041,United-States,>50K
0.410959,Self-emp-not-inc,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0.397959,United-States,<=50K
0.027397,State-gov,Some-college,0.6,Never-married,Other-service,Not-in-family,Black,Male,0,0.112245,United-States,<=50K
0.410959,Private,Bachelors,0.8,Divorced,Sales,Not-in-family,White,Male,0,0.44898,United-States,<=50K
0.205479,Federal-gov,HS-grad,0.533333,Never-married,Exec-managerial,Unmarried,White,Female,0.316804,0.397959,United-States,<=50K
0.30137,Private,11th,0.4,Married-civ-spouse,Other-service,Husband,Black,Male,0,0.367347,United-States,<=50K
0.150685,Private,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.397959,United-States,<=50K
0.39726,Private,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0.5,Japan,>50K
0.479452,Private,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.397959,United-States,>50K
0.232877,Private,Assoc-acdm,0.733333,Divorced,Adm-clerical,Own-child,White,Female,0,0.346939,United-States,<=50K
0.383562,Private,HS-grad,0.533333,Divorced,Sales,Unmarried,Black,Male,0,0.397959,United-States,<=50K
0.315068,Private,Assoc-voc,0.666667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.287671,Self-emp-inc,Bachelors,0.8,Never-married,Craft-repair,Not-in-family,White,Female,0,0.193878,United-States,<=50K
0.273973,Local-gov,Assoc-acdm,0.733333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.44898,Canada,>50K
0.547945,Self-emp-inc,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.397959,United-States,>50K
