@relation 'adult-data-training-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,14'

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute salary {>50K,<=50K}

@data
41,Self-emp-not-inc,233130,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,<=50K
55,Self-emp-not-inc,278228,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,<=50K
49,Private,277434,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,<=50K
26,Private,557236,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,<=50K
43,Local-gov,160574,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
33,Private,91964,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,<=50K
50,Private,95469,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,45,>50K
39,Self-emp-inc,167482,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
20,Private,249956,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,<=50K
18,?,128538,9,Never-married,?,Own-child,White,Female,0,0,20,<=50K
36,Private,135289,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,>50K
35,Private,209214,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,4386,0,35,>50K
62,Local-gov,206063,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,<=50K
37,Private,103323,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,<=50K
41,Local-gov,176716,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,<=50K
53,Private,89587,10,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,45,>50K
29,Federal-gov,244473,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,>50K
71,?,45801,9,Married-civ-spouse,?,Husband,White,Male,0,0,70,<=50K
32,Private,207668,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,>50K
50,Private,98215,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,<=50K
52,Private,208302,9,Divorced,Other-service,Other-relative,White,Male,0,0,30,<=50K
44,Private,160323,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,<=50K
69,Private,88566,5,Married-civ-spouse,Other-service,Husband,White,Male,1424,0,35,<=50K
22,Private,239954,10,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,<=50K
33,Federal-gov,319560,11,Divorced,Craft-repair,Unmarried,Black,Female,0,0,40,>50K
25,Private,231714,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
19,Private,271118,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,<=50K
33,Private,318982,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,>50K
47,Private,199058,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,>50K
50,Private,161438,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
34,Private,316470,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,<=50K
51,Self-emp-inc,231230,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,<=50K
20,Private,187158,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,<=50K
64,Self-emp-not-inc,106538,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,<=50K
20,Private,32426,10,Never-married,Sales,Not-in-family,White,Male,0,0,25,<=50K
33,Private,55717,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,<=50K
33,Private,314310,9,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0,20,<=50K
48,Private,25468,14,Divorced,Exec-managerial,Not-in-family,White,Male,99999,0,50,>50K
25,Private,485496,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,<=50K
40,Private,34722,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,48,>50K
47,Private,178341,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,46,>50K
49,Private,200949,6,Never-married,Other-service,Unmarried,White,Female,0,0,38,<=50K
28,Self-emp-inc,210295,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,>50K
53,Private,94081,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,>50K
35,Self-emp-inc,289430,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,>50K
29,Local-gov,190525,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,60,>50K
36,Private,99146,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,>50K
24,?,144898,10,Never-married,?,Unmarried,White,Male,0,0,40,<=50K
19,Private,178811,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,20,<=50K
27,Private,236246,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
29,Private,200515,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,<=50K
52,Private,213209,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,>50K
48,Federal-gov,156410,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,50,>50K
26,Private,197292,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,<=50K
58,State-gov,194068,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,>50K
31,Private,367314,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
40,Private,48087,9,Married-civ-spouse,Sales,Husband,White,Male,7298,0,45,>50K
39,Self-emp-not-inc,237532,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,54,>50K
24,State-gov,249385,13,Never-married,Adm-clerical,Other-relative,White,Female,0,0,10,<=50K
36,Private,112497,5,Married-civ-spouse,Sales,Own-child,White,Male,0,0,50,>50K
42,Self-emp-not-inc,109273,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,<=50K
79,Self-emp-inc,97082,8,Widowed,Sales,Not-in-family,White,Male,18481,0,45,>50K
41,Local-gov,47902,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,>50K
25,Private,251854,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,<=50K
45,Private,481987,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,18,>50K
33,Private,113364,9,Never-married,Sales,Not-in-family,White,Male,0,0,45,<=50K
37,Private,34146,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,68,<=50K
50,Private,145409,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,>50K
31,Private,182237,12,Married-civ-spouse,Sales,Husband,White,Male,4386,0,45,>50K
18,Private,71792,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,<=50K
36,Private,173542,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
35,State-gov,248374,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,<=50K
63,?,126540,10,Divorced,?,Not-in-family,White,Female,0,0,5,<=50K
53,Self-emp-not-inc,33304,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,>50K
53,Private,233369,10,Widowed,Exec-managerial,Unmarried,White,Female,0,0,40,<=50K
67,Private,231559,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,48,>50K
41,Private,201981,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,<=50K
50,Self-emp-not-inc,401118,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,50,>50K
47,Self-emp-inc,350759,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
46,Private,265105,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,>50K
58,Private,222247,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1887,40,>50K
32,Private,136480,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,>50K
33,Private,191385,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
59,Private,212783,9,Divorced,Other-service,Not-in-family,White,Female,0,0,38,<=50K
53,Private,202720,5,Married-spouse-absent,Machine-op-inspct,Unmarried,Black,Male,0,0,75,<=50K
39,Private,154641,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,>50K
47,Private,339863,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,>50K
28,Federal-gov,329426,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,<=50K
51,Private,221532,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,>50K
45,Private,179659,13,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,>50K
42,Self-emp-not-inc,178780,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
28,Private,221366,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,<=50K
28,Private,233796,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,32,>50K
35,?,195946,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,40,>50K
43,Local-gov,214242,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,>50K
20,Federal-gov,347935,10,Never-married,Protective-serv,Own-child,Black,Male,0,0,40,<=50K
69,Self-emp-inc,106395,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,>50K
40,Local-gov,101795,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,42,<=50K
81,Private,114670,5,Widowed,Priv-house-serv,Not-in-family,Black,Female,2062,0,5,<=50K
58,Private,193568,7,Widowed,Other-service,Not-in-family,White,Female,0,0,40,<=50K
69,State-gov,208869,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,11,<=50K
52,State-gov,334273,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,>50K
35,Private,112160,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,<=50K
65,?,160654,9,Married-civ-spouse,?,Husband,White,Male,0,0,20,<=50K
58,?,178660,8,Married-civ-spouse,?,Husband,White,Male,0,0,40,<=50K
36,Self-emp-inc,213008,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
36,Private,269722,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,>50K
69,Private,269499,9,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,8,<=50K
39,Private,176101,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
32,Private,235109,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,<=50K
28,Private,132686,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,>50K
51,Private,22211,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,>50K
51,Private,161691,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
54,Private,115602,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,40,<=50K
35,Private,212465,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,>50K
45,Private,25649,10,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,50,>50K
48,Private,141511,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
46,Private,114032,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1887,45,>50K
25,Private,101812,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,41,<=50K
40,Private,247880,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,>50K
65,?,266081,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,<=50K
52,Federal-gov,22428,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,>50K
30,Private,340899,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,1590,80,<=50K
21,Private,225541,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
51,Private,221672,14,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,>50K
34,Private,173730,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
63,Federal-gov,95680,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,18,>50K
48,Private,239058,8,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,50,<=50K
38,Private,40077,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,>50K
57,Private,190997,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
28,Self-emp-not-inc,209205,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,>50K
50,Private,158680,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
58,State-gov,123329,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,16,<=50K
18,Private,77845,10,Never-married,Adm-clerical,Own-child,White,Male,0,1602,15,<=50K
26,Self-emp-not-inc,109609,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,30,<=50K
23,Private,248978,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,<=50K
26,Private,102476,13,Never-married,Prof-specialty,Own-child,White,Male,10520,0,64,>50K
35,Private,190728,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,<=50K
44,Self-emp-not-inc,75065,8,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,<=50K
52,Private,127749,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,<=50K
52,Private,102828,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,>50K
31,Private,126950,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,<=50K
59,Private,99131,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
47,Self-emp-inc,332355,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,>50K
56,Self-emp-not-inc,233312,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,>50K
42,Private,98211,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,>50K
52,State-gov,135388,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,<=50K
62,Private,210935,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,<=50K
36,Private,226918,13,Never-married,Sales,Not-in-family,Black,Male,0,0,48,<=50K
35,Private,255635,5,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,<=50K
44,Federal-gov,244054,10,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,>50K
47,Self-emp-not-inc,131826,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,<=50K
19,State-gov,282721,10,Never-married,Other-service,Not-in-family,Black,Male,0,0,12,<=50K
47,Private,140664,13,Divorced,Sales,Not-in-family,White,Male,0,0,45,<=50K
32,Federal-gov,90653,9,Never-married,Exec-managerial,Unmarried,White,Female,0,1380,40,<=50K
39,Private,326342,7,Married-civ-spouse,Other-service,Husband,Black,Male,2635,0,37,<=50K
28,Private,212091,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2580,0,40,<=50K
46,Private,123053,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,>50K
52,Private,235307,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
34,Private,168906,12,Divorced,Adm-clerical,Own-child,White,Female,0,0,35,<=50K
45,Private,474617,9,Divorced,Sales,Unmarried,Black,Male,5455,0,40,<=50K
40,Private,114537,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
38,Self-emp-inc,124665,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,20,<=50K
37,Local-gov,251396,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,>50K
57,Self-emp-inc,257200,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
32,Private,196342,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,>50K
49,Self-emp-not-inc,48495,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,<=50K
41,Local-gov,184466,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,>50K
27,Private,29523,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,<=50K
23,Private,119838,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,<=50K
68,Private,351711,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
34,Federal-gov,341051,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,>50K
49,Private,169711,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
22,Private,204935,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,<=50K
50,Self-emp-not-inc,183915,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,>50K
30,Private,226013,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,<=50K
39,Private,56118,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,<=50K
35,Private,57640,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,<=50K
40,Private,374137,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,<=50K
35,?,164866,6,Divorced,?,Not-in-family,White,Male,0,0,99,<=50K
36,Self-emp-not-inc,257250,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,<=50K
36,Private,126675,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,>50K
30,Private,94235,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,<=50K
48,Private,187505,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,>50K
44,Private,121012,5,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,<=50K
23,Private,410439,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,<=50K
48,Self-emp-not-inc,317360,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,>50K
30,Self-emp-not-inc,115932,9,Never-married,Craft-repair,Not-in-family,White,Male,99999,0,50,>50K
65,?,195733,10,Married-civ-spouse,?,Husband,White,Male,0,0,30,>50K
28,Private,130067,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,>50K
49,State-gov,102308,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,>50K
32,Self-emp-not-inc,48014,10,Divorced,Other-service,Not-in-family,White,Female,0,0,35,<=50K
39,Local-gov,352628,12,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,50,>50K
34,Private,157747,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,>50K
43,Local-gov,147328,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,>50K
41,Private,306405,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,<=50K
51,Private,22211,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,>50K
38,Private,54816,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,>50K
45,Self-emp-inc,197332,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,>50K
36,Self-emp-inc,337778,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,>50K
48,Private,216214,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
72,Self-emp-not-inc,258761,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,<=50K
32,Self-emp-not-inc,112115,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,>50K
66,Self-emp-not-inc,212456,9,Widowed,Craft-repair,Not-in-family,White,Male,0,0,20,<=50K
70,Private,206232,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,<=50K
28,Private,212091,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2580,0,40,<=50K
56,Private,247119,4,Widowed,Machine-op-inspct,Unmarried,Other,Female,0,0,40,<=50K
45,Private,43479,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,<=50K
24,Private,236696,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,0,0,35,<=50K
44,Private,98211,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
45,?,28359,9,Separated,?,Unmarried,White,Female,0,0,10,<=50K
19,Private,125591,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,<=50K
18,?,256179,10,Never-married,?,Own-child,White,Male,594,0,10,<=50K
34,Private,161018,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,>50K
52,Private,129177,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,>50K
20,Private,308239,10,Never-married,Other-service,Own-child,White,Male,0,0,16,<=50K
27,Private,167031,13,Never-married,Prof-specialty,Unmarried,Other,Female,0,0,33,<=50K
22,Private,359759,10,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,20,<=50K
36,Private,74791,13,Married-civ-spouse,Sales,Wife,White,Male,0,0,60,<=50K
35,Federal-gov,76845,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,<=50K
20,Private,170038,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,<=50K
29,Local-gov,188909,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,42,<=50K
68,Private,166149,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,<=50K
38,Private,26987,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,<=50K
51,Private,94081,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,>50K
33,Private,326104,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
54,Self-emp-inc,129432,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,>50K
57,Private,200453,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40,>50K
34,Private,195576,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
45,Local-gov,348172,13,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,7298,0,40,>50K
28,Private,78870,13,Never-married,Sales,Not-in-family,White,Male,8614,0,40,>50K
26,Private,118497,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,<=50K
41,Private,152629,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,>50K
54,Private,141663,9,Never-married,Other-service,Not-in-family,White,Male,0,0,15,<=50K
29,State-gov,147256,12,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,>50K
